,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
92,Guatemala,GTM,,,,,,,,,,,,,,,,,,,,,43.0,42.0,45.0,44.0,48.0,21.0,37.0,16.0,47.0,50.0,66.0,63.0,66.0,75.0,71.0,77.0,66.0,73.0,78.0,77.0,81.0,77.0,82.0,84.0,87.0,87.0,89.0,85.0,95.0,92.0,94.0,88.0,96.0,96.0,74.0,70.0,83.0,91.0,85.0,85.0,83.0,79.0,,
94,Guyana,GUY,,,,,,,,,,,,,,,,,,,,,35.0,45.0,53.0,58.0,70.0,75.0,64.0,67.0,64.0,77.0,83.0,81.0,79.0,93.0,90.0,86.0,83.0,88.0,90.0,83.0,88.0,85.0,91.0,90.0,91.0,93.0,93.0,94.0,93.0,98.0,95.0,93.0,97.0,98.0,98.0,95.0,97.0,97.0,95.0,99.0,99.0,91.0,,
97,Honduras,HND,,,,,,,,,,,,,,,,,,,,,28.0,34.0,46.0,52.0,41.0,58.0,62.0,58.0,74.0,85.0,84.0,94.0,93.0,94.0,94.0,94.0,94.0,95.0,97.0,95.0,94.0,96.0,95.0,92.0,94.0,98.0,95.0,94.0,93.0,97.0,97.0,97.0,98.0,99.0,99.0,98.0,95.0,90.0,91.0,88.0,80.0,77.0,,
99,Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,85.0,87.0,90.0,91.0,92.0,93.0,93.0,93.0,94.0,95.0,94.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,96.0,96.0,96.0,95.0,94.0,93.0,92.0,93.0,94.0,94.0,92.0,,
100,Haiti,HTI,,,,,,,,,,,,,,,,,,,,,3.0,14.0,13.0,9.0,14.0,19.0,24.0,28.0,48.0,50.0,41.0,36.0,38.0,39.0,41.0,42.0,42.0,42.0,41.0,39.0,43.0,46.0,50.0,53.0,57.0,60.0,62.0,64.0,64.0,65.0,67.0,68.0,66.0,65.0,63.0,64.0,64.0,64.0,64.0,51.0,51.0,51.0,,
101,Hungary,HUN,,,,,,,,,,,,,,,,,,,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,
106,Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,6.0,13.0,27.0,47.0,50.0,54.0,57.0,60.0,62.0,64.0,66.0,68.0,69.0,72.0,73.0,74.0,75.0,75.0,76.0,70.0,71.0,71.0,72.0,72.0,73.0,77.0,78.0,81.0,81.0,87.0,92.0,88.0,84.0,84.0,85.0,85.0,85.0,77.0,67.0,,
109,India,IND,,,,,,,,,,,,,,,,,,,,,6.0,6.0,12.0,14.0,16.0,18.0,20.0,30.0,40.0,50.0,70.0,57.0,56.0,61.0,67.0,71.0,66.0,62.0,61.0,59.0,58.0,59.0,59.0,61.0,63.0,65.0,65.0,64.0,70.0,74.0,79.0,82.0,82.0,83.0,85.0,87.0,88.0,89.0,90.0,91.0,85.0,85.0,,
111,Ireland,IRL,,,,,,,,,,,,,,,,,,,,,34.0,36.0,43.0,42.0,45.0,45.0,44.0,44.0,43.0,65.0,65.0,67.0,68.0,70.0,71.0,73.0,74.0,76.0,84.0,86.0,86.0,84.0,83.0,86.0,89.0,90.0,91.0,92.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,,
112,"Iran, Islamic Rep.",IRN,,,,,,,,,,,,,,,,,,,,,32.0,29.0,41.0,33.0,33.0,51.0,57.0,57.0,88.0,82.0,91.0,88.0,97.0,99.0,95.0,98.0,99.0,99.0,99.0,99.0,99.0,96.0,99.0,99.0,99.0,95.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,,
113,Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,14.0,13.0,18.0,16.0,67.0,86.0,91.0,94.0,87.0,87.0,83.0,78.0,74.0,70.0,72.0,74.0,76.0,78.0,76.0,81.0,80.0,78.0,77.0,75.0,74.0,65.0,59.0,57.0,69.0,78.0,74.0,81.0,72.0,73.0,73.0,68.0,71.0,81.0,86.0,84.0,74.0,78.0,,
114,Iceland,ISL,,,,,,,,,,,,,,,,,,,,,99.0,99.0,98.0,94.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,92.0,95.0,97.0,99.0,95.0,97.0,97.0,98.0,96.0,96.0,95.0,89.0,91.0,90.0,92.0,91.0,89.0,91.0,92.0,93.0,92.0,,
115,Israel,ISR,,,,,,,,,,,,,,,,,,,,,84.0,91.0,92.0,89.0,87.0,85.0,92.0,92.0,92.0,92.0,93.0,94.0,95.0,96.0,95.0,96.0,94.0,95.0,92.0,91.0,93.0,92.0,90.0,93.0,95.0,93.0,95.0,95.0,94.0,96.0,95.0,94.0,94.0,96.0,95.0,95.0,94.0,98.0,98.0,98.0,98.0,98.0,,
116,Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,95.0,95.0,95.0,95.0,95.0,96.0,95.0,95.0,95.0,87.0,93.0,93.0,96.0,94.0,95.0,96.0,97.0,96.0,96.0,96.0,96.0,97.0,96.0,95.0,93.0,94.0,95.0,95.0,96.0,94.0,94.0,,
117,Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,24.0,39.0,34.0,51.0,58.0,60.0,74.0,81.0,82.0,85.0,86.0,85.0,84.0,91.0,93.0,90.0,92.0,90.0,86.0,89.0,93.0,99.0,99.0,96.0,98.0,99.0,95.0,92.0,91.0,90.0,94.0,92.0,96.0,93.0,92.0,91.0,99.0,93.0,97.0,96.0,96.0,90.0,,
118,Jordan,JOR,,,,,,,,,,,,,,,,,,,,,30.0,81.0,75.0,76.0,81.0,85.0,88.0,90.0,93.0,94.0,92.0,92.0,92.0,91.0,94.0,95.0,96.0,99.0,99.0,85.0,91.0,99.0,95.0,97.0,95.0,95.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,98.0,99.0,96.0,89.0,77.0,77.0,,
119,Japan,JPN,,,,,,,,,,,,,,,,,,,,,60.0,75.0,81.0,80.0,82.0,83.0,84.0,85.0,86.0,87.0,90.0,92.0,87.0,85.0,80.0,74.0,99.0,70.0,75.0,80.0,85.0,95.0,96.0,97.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,99.0,99.0,98.0,98.0,96.0,96.0,,
120,Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,76.0,76.0,93.0,95.0,97.0,99.0,98.0,97.0,95.0,95.0,99.0,82.0,98.0,99.0,93.0,99.0,98.0,99.0,99.0,99.0,98.0,95.0,98.0,82.0,99.0,98.0,97.0,88.0,95.0,,
121,Kenya,KEN,,,,,,,,,,,,,,,,,,,,,,,,,58.0,70.0,72.0,77.0,82.0,83.0,84.0,86.0,87.0,89.0,92.0,94.0,87.0,79.0,81.0,82.0,82.0,80.0,84.0,73.0,73.0,76.0,80.0,81.0,88.0,88.0,90.0,96.0,94.0,87.0,92.0,89.0,89.0,82.0,92.0,91.0,89.0,91.0,,
122,Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,64.0,82.0,93.0,98.0,98.0,97.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,92.0,94.0,95.0,95.0,96.0,96.0,96.0,97.0,96.0,97.0,96.0,92.0,94.0,95.0,87.0,89.0,,
123,Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,17.0,23.0,37.0,37.0,45.0,47.0,38.0,38.0,32.0,35.0,37.0,39.0,43.0,46.0,47.0,53.0,59.0,60.0,54.0,69.0,85.0,82.0,80.0,82.0,91.0,94.0,90.0,91.0,90.0,86.0,91.0,92.0,93.0,93.0,92.0,92.0,92.0,92.0,,
124,Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,43.0,29.0,53.0,40.0,18.0,37.0,37.0,36.0,63.0,79.0,97.0,70.0,86.0,99.0,71.0,60.0,79.0,91.0,88.0,78.0,90.0,85.0,77.0,70.0,62.0,79.0,86.0,94.0,82.0,86.0,91.0,99.0,94.0,95.0,75.0,78.0,81.0,90.0,95.0,97.0,92.0,92.0,,
125,St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,56.0,67.0,92.0,90.0,97.0,92.0,99.0,96.0,94.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,97.0,99.0,96.0,99.0,99.0,99.0,99.0,98.0,96.0,98.0,98.0,97.0,98.0,94.0,98.0,98.0,98.0,97.0,99.0,96.0,,
126,"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,,,,,,61.0,61.0,69.0,76.0,76.0,76.0,57.0,58.0,89.0,74.0,79.0,84.0,88.0,93.0,99.0,90.0,80.0,74.0,86.0,97.0,97.0,97.0,97.0,88.0,96.0,98.0,91.0,94.0,94.0,94.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,,
127,Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,67.0,79.0,83.0,89.0,89.0,90.0,91.0,92.0,94.0,94.0,71.0,80.0,88.0,97.0,99.0,99.0,99.0,96.0,95.0,94.0,98.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,95.0,99.0,99.0,99.0,91.0,92.0,93.0,94.0,,
129,Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,5.0,4.0,5.0,10.0,17.0,21.0,18.0,22.0,23.0,25.0,48.0,54.0,58.0,60.0,54.0,55.0,51.0,52.0,53.0,49.0,45.0,49.0,57.0,50.0,61.0,67.0,74.0,76.0,77.0,83.0,83.0,83.0,83.0,84.0,85.0,80.0,79.0,75.0,,
130,Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,4.0,4.0,17.0,30.0,46.0,63.0,79.0,82.0,86.0,90.0,91.0,92.0,93.0,93.0,92.0,89.0,86.0,83.0,80.0,77.0,74.0,75.0,77.0,78.0,80.0,81.0,81.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,71.0,67.0,,
132,Libya,LBY,,,,,,,,,,,,,,,,,,,,,60.0,67.0,72.0,79.0,81.0,81.0,82.0,82.0,84.0,87.0,84.0,87.0,90.0,96.0,95.0,95.0,96.0,96.0,95.0,94.0,94.0,94.0,93.0,95.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,94.0,97.0,97.0,96.0,73.0,73.0,73.0,73.0,,
133,St. Lucia,LCA,,,,,,,,,,,,,,,,,,,,,56.0,64.0,79.0,81.0,83.0,87.0,78.0,85.0,78.0,92.0,89.0,96.0,96.0,97.0,93.0,98.0,88.0,98.0,88.0,89.0,70.0,99.0,74.0,90.0,91.0,95.0,85.0,99.0,96.0,95.0,97.0,99.0,98.0,99.0,99.0,99.0,95.0,80.0,95.0,92.0,86.0,80.0,,
138,Sri Lanka,LKA,,,,,,,,,,,,,,,,,,,,,46.0,45.0,57.0,64.0,66.0,70.0,75.0,77.0,83.0,87.0,86.0,86.0,88.0,90.0,88.0,93.0,92.0,97.0,94.0,99.0,99.0,98.0,98.0,99.0,97.0,99.0,98.0,98.0,98.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,,
141,Lesotho,LSO,,,,,,,,,,,,,,,,,,,,,56.0,56.0,61.0,66.0,74.0,82.0,81.0,79.0,80.0,81.0,82.0,84.0,85.0,86.0,87.0,88.0,87.0,87.0,88.0,88.0,83.0,78.0,84.0,90.0,90.0,89.0,89.0,88.0,88.0,91.0,93.0,96.0,95.0,93.0,88.0,83.0,87.0,87.0,87.0,87.0,87.0,87.0,,
143,Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,83.0,83.0,90.0,91.0,90.0,93.0,93.0,94.0,95.0,95.0,94.0,94.0,94.0,94.0,95.0,96.0,98.0,95.0,92.0,93.0,93.0,93.0,93.0,94.0,94.0,92.0,92.0,91.0,90.0,,
144,Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,,,,,75.0,68.0,77.0,86.0,95.0,90.0,90.0,90.0,91.0,93.0,94.0,95.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,
145,Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,80.0,97.0,98.0,93.0,92.0,94.0,95.0,96.0,97.0,97.0,98.0,99.0,99.0,96.0,94.0,94.0,94.0,92.0,92.0,91.0,94.0,92.0,94.0,98.0,98.0,96.0,99.0,99.0,94.0,,
148,Morocco,MAR,,,,,,,,,,,,,,,,,,,,,,,32.0,41.0,45.0,51.0,63.0,85.0,82.0,80.0,81.0,81.0,87.0,86.0,87.0,90.0,95.0,94.0,93.0,91.0,95.0,96.0,94.0,91.0,97.0,98.0,97.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,
149,Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,
150,Moldova,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,70.0,86.0,96.0,97.0,97.0,97.0,97.0,95.0,97.0,97.0,98.0,98.0,98.0,97.0,92.0,90.0,85.0,90.0,93.0,92.0,90.0,90.0,87.0,89.0,88.0,93.0,91.0,86.0,87.0,,
151,Madagascar,MDG,,,,,,,,,,,,,,,,,,,,,,,15.0,23.0,19.0,23.0,30.0,35.0,42.0,45.0,46.0,53.0,65.0,66.0,66.0,57.0,49.0,49.0,52.0,55.0,57.0,60.0,62.0,66.0,78.0,85.0,85.0,84.0,77.0,77.0,70.0,73.0,68.0,70.0,68.0,62.0,68.0,65.0,65.0,68.0,66.0,55.0,,
152,Maldives,MDV,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,13.0,24.0,28.0,42.0,42.0,86.0,91.0,94.0,98.0,98.0,90.0,96.0,94.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,96.0,98.0,98.0,98.0,98.0,98.0,96.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,96.0,,
154,Mexico,MEX,,,,,,,,,,,,,,,,,,,,,44.0,43.0,40.0,41.0,52.0,40.0,51.0,62.0,60.0,65.0,53.0,88.0,90.0,82.0,91.0,91.0,95.0,95.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,96.0,95.0,95.0,97.0,99.0,83.0,87.0,87.0,93.0,85.0,88.0,82.0,72.0,78.0,,
155,Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,92.0,92.0,71.0,82.0,56.0,67.0,70.0,78.0,78.0,86.0,66.0,39.0,48.0,80.0,68.0,64.0,77.0,74.0,93.0,95.0,96.0,94.0,87.0,80.0,79.0,78.0,85.0,71.0,80.0,81.0,79.0,82.0,86.0,,
157,North Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,88.0,95.0,93.0,97.0,94.0,95.0,95.0,91.0,96.0,96.0,94.0,97.0,93.0,95.0,95.0,96.0,95.0,96.0,95.0,98.0,95.0,91.0,95.0,91.0,92.0,92.0,84.0,81.0,,
158,Mali,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,18.0,26.0,42.0,34.0,38.0,46.0,39.0,49.0,53.0,52.0,52.0,40.0,43.0,49.0,61.0,63.0,69.0,77.0,78.0,74.0,74.0,73.0,73.0,66.0,65.0,64.0,66.0,71.0,76.0,77.0,77.0,77.0,70.0,77.0,,
159,Malta,MLT,,,,,,,,,,,,,,,,,,,,,,,,,50.0,37.0,86.0,87.0,87.0,47.0,63.0,86.0,82.0,83.0,88.0,92.0,92.0,92.0,92.0,93.0,94.0,95.0,95.0,94.0,89.0,92.0,85.0,74.0,72.0,73.0,76.0,96.0,99.0,99.0,99.0,97.0,97.0,98.0,97.0,98.0,98.0,99.0,,
160,Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,4.0,5.0,9.0,11.0,12.0,16.0,20.0,23.0,28.0,50.0,88.0,66.0,71.0,73.0,77.0,84.0,88.0,90.0,90.0,75.0,82.0,73.0,79.0,78.0,82.0,73.0,82.0,86.0,85.0,90.0,90.0,84.0,84.0,75.0,88.0,89.0,90.0,89.0,91.0,90.0,84.0,37.0,,
163,Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,76.0,78.0,79.0,79.0,77.0,80.0,81.0,80.0,82.0,84.0,84.0,81.0,64.0,79.0,78.0,88.0,90.0,92.0,94.0,94.0,94.0,95.0,98.0,98.0,99.0,99.0,99.0,95.0,96.0,95.0,96.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,96.0,95.0,,
165,Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,,56.0,43.0,38.0,32.0,29.0,32.0,39.0,38.0,47.0,46.0,46.0,50.0,49.0,55.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,76.0,85.0,83.0,80.0,78.0,75.0,75.0,74.0,74.0,78.0,81.0,85.0,88.0,88.0,88.0,88.0,88.0,88.0,79.0,61.0,,
166,Mauritania,MRT,,,,,,,,,,,,,,,,,,,,,,18.0,20.0,20.0,21.0,27.0,32.0,30.0,28.0,28.0,33.0,29.0,39.0,44.0,50.0,55.0,50.0,28.0,16.0,53.0,51.0,75.0,89.0,76.0,70.0,71.0,68.0,75.0,74.0,64.0,64.0,75.0,80.0,80.0,81.0,73.0,74.0,76.0,77.0,80.0,72.0,68.0,,
167,Mauritius,MUS,,,,,,,,,,,,,,,,,,,,,89.0,82.0,94.0,89.0,85.0,88.0,86.0,84.0,86.0,85.0,85.0,91.0,88.0,88.0,89.0,93.0,89.0,90.0,89.0,85.0,88.0,92.0,88.0,99.0,98.0,97.0,97.0,97.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,96.0,94.0,97.0,96.0,93.0,92.0,,
168,Malawi,MWI,,,,,,,,,,,,,,,,,,,,,58.0,66.0,64.0,63.0,58.0,55.0,57.0,78.0,82.0,87.0,87.0,87.0,87.0,91.0,82.0,89.0,90.0,95.0,96.0,85.0,75.0,90.0,64.0,84.0,89.0,93.0,99.0,87.0,91.0,93.0,93.0,97.0,96.0,89.0,91.0,88.0,84.0,88.0,92.0,95.0,94.0,93.0,,
169,Malaysia,MYS,,,,,,,,,,,,,,,,,,,,,67.0,66.0,73.0,58.0,54.0,57.0,62.0,69.0,68.0,84.0,90.0,92.0,94.0,91.0,95.0,98.0,97.0,98.0,97.0,97.0,98.0,96.0,94.0,96.0,95.0,96.0,95.0,97.0,97.0,97.0,96.0,96.0,97.0,97.0,97.0,99.0,95.0,99.0,99.0,98.0,98.0,95.0,,
171,Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,70.0,73.0,79.0,74.0,70.0,66.0,74.0,72.0,79.0,78.0,77.0,79.0,81.0,86.0,86.0,86.0,83.0,83.0,83.0,82.0,84.0,89.0,88.0,92.0,85.0,88.0,89.0,87.0,93.0,93.0,,
173,Niger,NER,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,5.0,5.0,4.0,5.0,7.0,9.0,13.0,22.0,19.0,20.0,20.0,20.0,23.0,23.0,25.0,29.0,32.0,34.0,36.0,39.0,41.0,43.0,45.0,51.0,57.0,67.0,71.0,70.0,75.0,71.0,73.0,81.0,84.0,80.0,85.0,79.0,81.0,81.0,82.0,,
174,Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,,,,9.0,16.0,22.0,29.0,36.0,47.0,56.0,39.0,43.0,29.0,44.0,34.0,26.0,21.0,32.0,31.0,29.0,27.0,25.0,29.0,33.0,36.0,40.0,42.0,53.0,63.0,54.0,48.0,42.0,43.0,43.0,42.0,53.0,55.0,55.0,56.0,56.0,56.0,,
175,Nicaragua,NIC,,,,,,,,,,,,,,,,,,,,,16.0,23.0,27.0,24.0,33.0,39.0,45.0,51.0,47.0,68.0,70.0,75.0,81.0,81.0,81.0,80.0,80.0,80.0,73.0,79.0,83.0,87.0,85.0,86.0,79.0,86.0,88.0,93.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,92.0,87.0,,
176,Netherlands,NLD,,,,,,,,,,,,,,,,,,,,,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,95.0,95.0,94.0,93.0,94.0,94.0,95.0,,
177,Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,85.0,83.0,80.0,83.0,83.0,86.0,96.0,98.0,94.0,93.0,97.0,97.0,95.0,93.0,92.0,90.0,91.0,93.0,92.0,92.0,91.0,94.0,93.0,94.0,94.0,93.0,94.0,95.0,94.0,93.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,,
178,Nepal,NPL,,,,,,,,,,,,,,,,,,,,,8.0,16.0,18.0,23.0,27.0,32.0,38.0,46.0,45.0,44.0,43.0,46.0,49.0,51.0,54.0,54.0,65.0,78.0,71.0,65.0,74.0,72.0,72.0,78.0,80.0,75.0,89.0,82.0,82.0,89.0,82.0,92.0,90.0,92.0,92.0,91.0,87.0,90.0,91.0,93.0,84.0,91.0,,
179,Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,67.0,67.0,61.0,55.0,67.0,75.0,74.0,70.0,67.0,63.0,60.0,56.0,53.0,50.0,72.0,64.0,44.0,95.0,80.0,80.0,80.0,80.0,72.0,99.0,99.0,99.0,99.0,99.0,79.0,87.0,95.0,91.0,97.0,87.0,90.0,96.0,95.0,98.0,,
180,New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,76.0,72.0,73.0,73.0,83.0,72.0,70.0,67.0,69.0,80.0,90.0,81.0,81.0,83.0,84.0,89.0,88.0,86.0,81.0,88.0,90.0,90.0,90.0,90.0,89.0,89.0,89.0,88.0,89.0,92.0,93.0,95.0,93.0,92.0,93.0,92.0,92.0,94.0,93.0,92.0,92.0,90.0,,
182,Oman,OMN,,,,,,,,,,,,,,,,,,,,,18.0,19.0,24.0,31.0,45.0,60.0,82.0,89.0,90.0,98.0,98.0,95.0,99.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,
184,Pakistan,PAK,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,15.0,23.0,30.0,34.0,36.0,38.0,40.0,54.0,50.0,42.0,37.0,39.0,58.0,46.0,52.0,54.0,57.0,59.0,61.0,63.0,66.0,68.0,63.0,59.0,54.0,53.0,52.0,52.0,63.0,64.0,65.0,69.0,72.0,75.0,75.0,80.0,84.0,77.0,83.0,,
185,Panama,PAN,,,,,,,,,,,,,,,,,,,,,47.0,78.0,60.0,60.0,59.0,73.0,70.0,72.0,75.0,70.0,86.0,82.0,77.0,83.0,83.0,86.0,91.0,95.0,98.0,92.0,98.0,99.0,99.0,98.0,95.0,92.0,88.0,85.0,86.0,85.0,94.0,87.0,85.0,80.0,80.0,73.0,86.0,81.0,88.0,88.0,74.0,74.0,,
186,Peru,PER,,,,,,,,,,,,,,,,,,,,,16.0,20.0,23.0,23.0,28.0,48.0,50.0,43.0,60.0,58.0,72.0,71.0,83.0,87.0,87.0,90.0,94.0,90.0,94.0,99.0,98.0,90.0,95.0,94.0,86.0,77.0,94.0,93.0,93.0,93.0,93.0,91.0,95.0,88.0,88.0,90.0,89.0,83.0,84.0,88.0,72.0,82.0,,
187,Philippines,PHL,,,,,,,,,,,,,,,,,,,,,47.0,54.0,54.0,55.0,57.0,59.0,66.0,72.0,79.0,86.0,88.0,90.0,80.0,76.0,73.0,70.0,75.0,81.0,81.0,80.0,78.0,79.0,79.0,84.0,88.0,89.0,88.0,87.0,87.0,88.0,88.0,89.0,89.0,84.0,79.0,74.0,84.0,80.0,75.0,71.0,71.0,57.0,,
188,Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,81.0,99.0,78.0,99.0,98.0,93.0,89.0,67.0,99.0,98.0,91.0,96.0,96.0,96.0,98.0,99.0,99.0,98.0,98.0,98.0,94.0,92.0,49.0,69.0,84.0,89.0,99.0,95.0,90.0,98.0,97.0,95.0,97.0,96.0,95.0,,
189,Papua New Guinea,PNG,,,,,,,,,,,,,,,,,,,,,32.0,32.0,29.0,27.0,34.0,40.0,44.0,44.0,48.0,53.0,68.0,68.0,58.0,58.0,61.0,62.0,56.0,45.0,60.0,60.0,59.0,55.0,61.0,68.0,62.0,72.0,70.0,66.0,56.0,64.0,55.0,58.0,57.0,60.0,52.0,49.0,46.0,36.0,35.0,35.0,39.0,31.0,,
190,Poland,POL,,,,,,,,,,,,,,,,,,,,,96.0,96.0,95.0,95.0,95.0,94.0,95.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,96.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,96.0,95.0,95.0,90.0,90.0,,
193,"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,,,,,50.0,52.0,51.0,52.0,67.0,55.0,61.0,86.0,87.0,97.0,98.0,97.0,90.0,90.0,77.0,64.0,50.0,37.0,43.0,50.0,56.0,62.0,64.0,68.0,72.0,79.0,89.0,92.0,92.0,93.0,93.0,94.0,96.0,93.0,93.0,96.0,96.0,97.0,97.0,97.0,97.0,41.0,,
194,Portugal,PRT,,,,,,,,,,,,,,,,,,,,,73.0,75.0,78.0,79.0,78.0,72.0,81.0,83.0,81.0,88.0,89.0,96.0,94.0,93.0,97.0,93.0,95.0,94.0,97.0,97.0,96.0,97.0,98.0,99.0,95.0,93.0,97.0,97.0,97.0,96.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,,
